2018/09/13 13:30:30 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:34 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:35 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:36 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:37 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:38 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:39 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:40 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:41 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:42 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:43 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:44 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:45 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:46 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:47 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:48 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:49 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:50 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:51 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:52 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:53 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:54 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:55 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:56 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
2018/09/13 13:31:57 | mdmedical.cpp:ShowCurrentTmp:1603 | RUNNING:ccccccccccccccccccccccccccc fd 
